"","president","speech_year","month","avg_sentiment","avg_approval"
"361","BILL CLINTON",1998,1998-07-01,0.515155095116927,0.626666666666667
"362","BILL CLINTON",1998,1998-08-01,0.316867590918224,0.623333333333333
"363","BILL CLINTON",1998,1998-09-01,0.46668035030104,0.622857142857143
"364","BILL CLINTON",1998,1998-10-01,0.359216589861751,0.645
"365","BILL CLINTON",1998,1998-11-01,0.443626498218335,0.65
"366","BILL CLINTON",1998,1998-12-01,0.581689342403628,0.64
"367","BILL CLINTON",1999,1999-01-01,0.509736740224545,0.67
"368","BILL CLINTON",1999,1999-02-01,0.501625295508274,0.645714285714286
"369","BILL CLINTON",1999,1999-03-01,0.473936750272628,0.64
"370","BILL CLINTON",1999,1999-04-01,0.389812646370023,0.59
"371","BILL CLINTON",1999,1999-05-01,0.342209523809524,0.58
"372","BILL CLINTON",1999,1999-06-01,0.513173973293021,0.59
"373","BILL CLINTON",1999,1999-07-01,0.356528512639624,0.596666666666667
"374","BILL CLINTON",1999,1999-08-01,0.414394319131161,0.593333333333333
"375","BILL CLINTON",1999,1999-09-01,0.401115551115551,0.595
"376","BILL CLINTON",1999,1999-10-01,0.453147986837011,0.575
"377","BILL CLINTON",1999,1999-11-01,0.509863945578231,0.585
"378","BILL CLINTON",1999,1999-12-01,0.54021879021879,0.565
"379","BILL CLINTON",2000,2000-01-01,0.512982503607504,0.6175
"380","BILL CLINTON",2000,2000-02-01,0.477632153778943,0.596666666666667
"381","BILL CLINTON",2000,2000-03-01,0.540035597572362,0.6
"382","BILL CLINTON",2000,2000-04-01,0.570608243297319,0.58
"383","BILL CLINTON",2000,2000-05-01,0.445272178401013,0.57
"384","BILL CLINTON",2000,2000-06-01,0.488024453024453,0.565
"385","BILL CLINTON",2000,2000-07-01,0.457503052503053,0.58
"386","BILL CLINTON",2000,2000-08-01,0.433948023653906,0.6075
"387","BILL CLINTON",2000,2000-09-01,0.465753219526804,0.6
