,X,president,speech_year,month,avg_sentiment,avg_approval,unemploychg,sp500chg,cons_sentchg,real_gdpchg,cpichg,pcechg,gdpc1chg,ind_prochg,savingschg,avg_sentiment_ctr
79,229,BARACK OBAMA,2015,7/1/15,0.56930839,0.459666667,1.886792453,1.97420297,-3.121748179,1,-1.862977735,4.592023269,0.240115712,0.535446831,0,-0.008745468
80,230,BARACK OBAMA,2015,8/1/15,0.502150794,0.453548387,1.923076923,-6.258081817,-1.288936627,1,0.126022356,3.748968063,0,-0.10791957,0.1,-0.075903064
81,231,BARACK OBAMA,2015,9/1/15,0.616793487,0.466551724,1.960784314,-2.644283157,-5.114254625,1,2.63162317,-0.116185251,0,-0.387681765,0,0.038739629
82,232,BARACK OBAMA,2015,10/1/15,0.501393202,0.462333333,0,8.298311776,3.211009174,0.4,-1.389438583,2.256148732,0.099909386,-0.357858671,-0.1,-0.076660656
83,233,BARACK OBAMA,2015,11/1/15,0.516832429,0.468928571,-2,0.050486926,1.444444444,0.4,-1.185965237,3.286056008,0,-0.60431379,-0.4,-0.061221429
84,234,BARACK OBAMA,2015,12/1/15,0.439689381,0.456666667,1.960784314,-1.753018518,1.423877327,0.4,1.003293896,1.831310592,0,-0.450393888,0.1,-0.138364476
85,235,BARACK OBAMA,2016,1/1/16,0.328481241,0.477666667,2,-5.073532197,-0.647948164,1.5,-0.080734346,1.260716491,0.384670798,0.744893888,0.4,-0.249572617
86,236,BARACK OBAMA,2016,2/1/16,0.538905197,0.478571429,0,-0.412836043,-0.326086957,1.5,1.836582812,6.527695438,0,-0.668242885,-0.5,-0.039148661
87,237,BARACK OBAMA,2016,3/1/16,0.503009963,0.509,-2.040816327,6.599111458,-0.763358779,1.5,-2.875322674,-0.277288627,0,-0.783053832,0.3,-0.075043895
88,238,BARACK OBAMA,2016,4/1/16,0.41282124,0.503666667,0,0.269939848,-2.197802198,2.3,-3.977516195,9.458684009,0.56559884,0.203266645,-0.5,-0.165232618
89,239,BARACK OBAMA,2016,5/1/16,0.546215986,0.512903226,4,1.532460236,6.404494382,2.3,-3.200643143,4.962794854,0,-0.144278162,-0.4,-0.031837871
90,240,BARACK OBAMA,2016,6/1/16,0.587001287,0.514333333,-2.083333333,0.091092112,-1.267159451,2.3,-3.522867738,7.248157248,0,0.341039615,-0.4,0.008947429
91,241,BARACK OBAMA,2016,7/1/16,0.370026455,0.504285714,2.040816327,3.560980113,-3.743315508,1.9,0.084940895,1.408990928,0.477906466,0.19215754,0.2,-0.208027403
92,242,BARACK OBAMA,2016,8/1/16,0.494703596,0.513333333,-2.083333333,-0.121924314,-0.222222222,1.9,-2.258588382,4.850626657,0,-0.076461057,-0.1,-0.083350262
93,243,BARACK OBAMA,2016,9/1/16,0.435795686,0.518965517,-2.040816327,-0.123445084,1.559020045,1.9,-2.239382881,5.765546886,0,-0.132268134,0,-0.142258172
94,244,BARACK OBAMA,2016,10/1/16,0.55343756,0.534333333,2,-1.942567928,-4.385964912,1.8,-3.186047766,3.812918975,0.437574354,0.122927017,0.1,-0.024616298
95,245,BARACK OBAMA,2016,11/1/16,0.495537152,0.558888889,4.081632653,3.417452219,7.568807339,1.8,-1.678175853,3.337324733,0,-0.221839642,0,-0.082516706
96,246,BARACK OBAMA,2016,12/1/16,0.362672975,0.558888889,0,1.82007622,4.690831557,1.8,-3.683856067,5.796386888,0,0.94118294,-0.1,-0.215380883
97,247,BARACK OBAMA,2017,1/1/17,0.193676815,0.566,0,1.788435817,0.305498982,1.8,-4.982452672,5.096908734,0.44330398,-0.241663156,0.4,-0.384377043
98,295,BILL CLINTON,1993,1/1/93,0.62170068,0.555,1.351351351,0.704598945,-1.868131868,0.7,-4.216444132,1.189927128,0.167400308,0.4333276,-2,0.043646822
99,296,BILL CLINTON,1993,2/1/93,0.52469896,0.545,2.739726027,1.048362735,-3.023516237,0.7,-2.521008403,4.036215357,0,0.437467137,0.3,-0.053354898
100,297,BILL CLINTON,1993,3/1/93,0.558120748,0.52,1.408450704,1.869729782,-0.808314088,0.7,-1.677148847,-0.771473836,0,-0.134766858,0,-0.01993311
101,298,BILL CLINTON,1993,4/1/93,0.574042007,0.55,-1.428571429,-2.541681021,-0.349243306,2.3,-4.187020237,11.276278,0.582419625,0.346732848,-0.2,-0.00401185
102,299,BILL CLINTON,1993,5/1/93,0.551841677,0.44,0,2.271746281,-6.191588785,2.3,-3.337969402,7.920972368,0,-0.347922911,-0.4,-0.026212181
103,300,BILL CLINTON,1993,6/1/93,0.542063492,0.396666667,1.408450704,0.075523001,1.494396015,2.3,-0.832177531,4.77568741,0,0.170300085,-0.5,-0.035990366
104,301,BILL CLINTON,1993,7/1/93,0.555258718,0.45,1.428571429,-0.532704594,-5.521472393,1.9,-1.663201663,7.810810811,0.477314733,0.30817217,-0.2,-0.02279514
105,302,BILL CLINTON,1993,8/1/93,0.562371615,0.435,1.449275362,3.443195686,0.38961039,1.9,-2.491349481,3.275973953,0,-0.104197256,0.1,-0.015682243
106,303,BILL CLINTON,1993,9/1/93,0.509094457,0.493333333,1.470588235,-0.998793041,0.776196636,1.9,-1.657458564,8.140858271,0,0.47646476,-0.8,-0.0689594
107,304,BILL CLINTON,1993,10/1/93,0.545361744,0.48,-1.492537313,1.939292296,6.161745828,5.6,-4.965517241,5.665521445,1.360113327,0.768708685,-0.6,-0.032692114
108,305,BILL CLINTON,1993,11/1/93,0.697576058,0.476666667,2.941176471,-1.291062601,-1.813784764,5.6,-3.296703297,5.638898694,0,0.423131171,0,0.1195222
109,306,BILL CLINTON,1993,12/1/93,0.530861801,0.495,1.515151515,1.009117328,8.620689655,5.6,-2.465753425,4.479480029,0,0.53494065,2.8,-0.047192057
110,307,BILL CLINTON,1994,1/1/94,0.60974158,0.546666667,-1.538461538,3.250074522,6.916099773,3.9,0,3.67526416,0.970216278,0.375604536,-2,0.031687722
111,308,BILL CLINTON,1994,2/1/94,0.464261168,0.53,0,-3.004499585,-1.166489926,3.9,-3.280929597,12.43157183,0,0.029959192,-0.6,-0.113792689
112,309,BILL CLINTON,1994,3/1/94,0.593868722,0.505,1.515151515,-4.574651135,-1.824034335,3.9,-3.27198364,3.471052972,0,1.011037964,0.3,0.015814865
113,310,BILL CLINTON,1994,4/1/94,0.559292822,0.49,1.538461538,1.153064389,1.202185792,5.5,-0.815771584,6.482996126,1.355045866,0.568971821,-0.4,-0.018761036
114,311,BILL CLINTON,1994,5/1/94,0.550849022,0.5,4.6875,1.239714344,0.215982721,5.5,-2.445652174,-0.411038085,0,0.507216819,1.2,-0.027204836
115,312,BILL CLINTON,1994,6/1/94,0.649742233,0.46,0,-2.679082366,-1.724137931,5.5,-3.254237288,10.12528108,0,0.640789224,-0.7,0.071688375
116,313,BILL CLINTON,1994,7/1/94,0.489651211,0.425,0,3.148990782,-2.412280702,2.4,-4.056795132,2.981588057,0.584515241,0.154508114,0.1,-0.088402646
