"","president_name","Emotion","Percentage"
"250","LYNDON B. JOHNSON","Surprise",0.0597486422972849
"251","MARTIN VAN BUREN","Surprise",0.0225735676155296
"252","MILLARD FILLMORE","Surprise",0.0249061778104798
"253","RICHARD NIXON","Surprise",0.0585352263039415
"254","RONALD REAGAN","Surprise",0.0586194051686517
"255","RUTHERFORD B. HAYES","Surprise",0.0247763608099552
"256","THEODORE ROOSEVELT","Surprise",0.0608852409763825
"257","THOMAS JEFFERSON","Surprise",0.0283107300351053
"258","ULYSSES S. GRANT","Surprise",0.0240528122074443
"259","WARREN G. HARDING","Surprise",0.0513546492618474
"260","WILLIAM HENRY HARRISON","Surprise",0.061701495493711
"261","WILLIAM HOWARD TAFT","Surprise",0.0274079998708021
"262","WILLIAM MCKINLEY","Surprise",0.0343552379366446
"263","WOODROW WILSON","Surprise",0.0492828574256039
"264","ZACHARY TAYLOR","Surprise",0.0312670374644632
"265","ABRAHAM LINCOLN","Fear",0.129802974270697
"266","ANDREW JACKSON","Fear",0.103408657885217
"267","ANDREW JOHNSON","Fear",0.11358466545311
"268","BARACK OBAMA","Fear",0.103576986122299
"269","BENJAMIN HARRISON","Fear",0.11715526641738
"270","BILL CLINTON","Fear",0.0980974872268447
"271","CALVIN COOLIDGE","Fear",0.111760403632119
"272","CHESTER A. ARTHUR","Fear",0.0837702692377324
"273","DONALD TRUMP","Fear",0.102319138902389
"274","DWIGHT D. EISENHOWER","Fear",0.0966612459420565
"275","FRANKLIN D. ROOSEVELT","Fear",0.116195918978073
"276","FRANKLIN PIERCE","Fear",0.0877264825019849
"277","GEORGE BUSH","Fear",0.0953081967716941
"278","GEORGE W. BUSH","Fear",0.104018540723179
"279","GEORGE WASHINGTON","Fear",0.0817937510545499
"280","GERALD FORD","Fear",0.0864426632485109
"281","GROVER CLEVELAND","Fear",0.134080663416452
"282","HARRY S. TRUMAN","Fear",0.104138049433652
"283","HERBERT HOOVER","Fear",0.0859386573242285
"284","JAMES A. GARFIELD","Fear",0.152023925894894
"285","JAMES BUCHANAN","Fear",0.0940970780223037
"286","JAMES K. POLK","Fear",0.12057699975382
"287","JAMES MADISON","Fear",0.0981947275646609
"288","JAMES MONROE","Fear",0.11624064197267
"289","JIMMY CARTER","Fear",0.0913726978275953
"290","JOHN ADAMS","Fear",0.088614242911821
"291","JOHN F. KENNEDY","Fear",0.0844701469981029
"292","JOHN QUINCY ADAMS","Fear",0.104280188238599
"293","JOHN TYLER","Fear",0.0973834935464535
"294","LYNDON B. JOHNSON","Fear",0.095674161045198
"295","MARTIN VAN BUREN","Fear",0.129110045372536
"296","MILLARD FILLMORE","Fear",0.0967947404586885
"297","RICHARD NIXON","Fear",0.0879952656874526
"298","RONALD REAGAN","Fear",0.0957142145466108
"299","RUTHERFORD B. HAYES","Fear",0.09768764110204
"300","THEODORE ROOSEVELT","Fear",0.111841409744824
"301","THOMAS JEFFERSON","Fear",0.10917489717011
"302","ULYSSES S. GRANT","Fear",0.088312744356411
"303","WARREN G. HARDING","Fear",0.112361492319216
"304","WILLIAM HENRY HARRISON","Fear",0.0618225435497893
"305","WILLIAM HOWARD TAFT","Fear",0.0723374388379638
"306","WILLIAM MCKINLEY","Fear",0.137604344282386
"307","WOODROW WILSON","Fear",0.117067100699826
"308","ZACHARY TAYLOR","Fear",0.0933743031056456
"309","ABRAHAM LINCOLN","Trust",0.496961809674548
"310","ANDREW JACKSON","Trust",0.562359669629345
"311","ANDREW JOHNSON","Trust",0.549845106222583
"312","BARACK OBAMA","Trust",0.341141122848508
"313","BENJAMIN HARRISON","Trust",0.460873858001291
"314","BILL CLINTON","Trust",0.352903760850672
"315","CALVIN COOLIDGE","Trust",0.354939201176114
"316","CHESTER A. ARTHUR","Trust",0.554372506245236
"317","DONALD TRUMP","Trust",0.35134313296032
"318","DWIGHT D. EISENHOWER","Trust",0.391736313738396
"319","FRANKLIN D. ROOSEVELT","Trust",0.354935465804572
"320","FRANKLIN PIERCE","Trust",0.622454576981728
"321","GEORGE BUSH","Trust",0.381616402131988
"322","GEORGE W. BUSH","Trust",0.368539735662084
"323","GEORGE WASHINGTON","Trust",0.503483975064669
"324","GERALD FORD","Trust",0.383997890240046
"325","GROVER CLEVELAND","Trust",0.397077338408273
"326","HARRY S. TRUMAN","Trust",0.379169339049967
"327","HERBERT HOOVER","Trust",0.363781112858587
"328","JAMES A. GARFIELD","Trust",0.466778848391752
"329","JAMES BUCHANAN","Trust",0.588097581283167
"330","JAMES K. POLK","Trust",0.564547758880853
"331","JAMES MADISON","Trust",0.502217220852666
"332","JAMES MONROE","Trust",0.530299473235803
"333","JIMMY CARTER","Trust",0.403179859787956
"334","JOHN ADAMS","Trust",0.451060215089774
"335","JOHN F. KENNEDY","Trust",0.382653251872078
"336","JOHN QUINCY ADAMS","Trust",0.526695693612807
"337","JOHN TYLER","Trust",0.468908834232025
"338","LYNDON B. JOHNSON","Trust",0.363820420695112
"339","MARTIN VAN BUREN","Trust",0.560758046641878
"340","MILLARD FILLMORE","Trust",0.58437989407468
"341","RICHARD NIXON","Trust",0.388554315106861
"342","RONALD REAGAN","Trust",0.37402020564975
"343","RUTHERFORD B. HAYES","Trust",0.564192178559582
"344","THEODORE ROOSEVELT","Trust",0.438643495907037
"345","THOMAS JEFFERSON","Trust",0.480577306887468
"346","ULYSSES S. GRANT","Trust",0.457916251729876
"347","WARREN G. HARDING","Trust",0.383673353386955
"348","WILLIAM HENRY HARRISON","Trust",0.505034498695982
"349","WILLIAM HOWARD TAFT","Trust",0.435544621632346
"350","WILLIAM MCKINLEY","Trust",0.471637476327439
"351","WOODROW WILSON","Trust",0.351509821344374
"352","ZACHARY TAYLOR","Trust",0.594177065656291
